ID,название Формы,тип,где размещается,стоимость создания,эффект,условие повреждения,условие разрушения,связь с Разрывом/Преобразованием,тестовая заметка
FORM-001,Плотический Настил,Малая Форма / Плотика,зона Физического мира / дорога,1 Материя + 1 Импульс,Выбери: сделать опасную клетку обычной до конца раунда или дать союзнику безопасный проход через 1 клетку.,если в зоне появляется Искажение,если применён Разрыв дороги или зона горит,Преобразование: настил становится устойчивой дорогой; Разрыв: превращает дорогу в обвал.,"Простая карта обучения: зона меняется, но не ломает баланс."
FORM-002,Витический Росток,Малая Форма / Витика,клетка Корня или Убежища,1 Огонь или 1 Импульс,Выбери: восстановить 1 повреждение Корня или получить 1 Пищу/Энергию.,если игрок берёт нижний долг в этой зоне,если Корень разрушен полностью,"Преобразование: росток становится Садом Корня; Разрыв: даёт ресурс, но убивает росток.","Проверить, не слишком ли часто лечит Корни."
FORM-003,Сиаматическая Связка,Малая Форма / Сиаматика,между двумя соседними клетками,1 Связь + 1 Импульс,Соедини две соседние клетки: союзник может передать через них 1 ресурс.,если одна из клеток получает Искажение,если обе клетки становятся враждебными,Преобразование: связь становится малым каналом; Разрыв: разрывает связь и даёт 1 Шрам.,Учить игроков совместной экономике.
FORM-004,Амато-Допуск,Малая Форма / Амато,у закрытого прохода или портала,1 Полномочие или 2 Импульса,Открой закрытый проход для одного персонажа без полного портального ритуала.,если персонаж проваливает действие входа,если портал получает 2 повреждения,Преобразование: допуск закрепляется как ключ; Разрыв: проход закрывается для всех.,Использовать как мягкий ввод к порталам.
FORM-005,Атмический Ориентир,Малая Форма / Атмический,клетка выбора / развилки,1 Внимание + 1 Импульс,До конца раунда игроки на этой клетке могут один раз заменить риск на выбор.,если выбран путь нижнего долга,если на клетке происходит Великий Разрыв,Преобразование: ориентир становится законом выбора; Разрыв: выбор превращается в принуждение.,Проверить ясность формулировки для новичков.
FORM-006,Плотическая Стена,Малая Форма / Плотика,граница зоны или Убежища,1 Материя + 1 Инструмент,Заблокируй первое входящее негативное событие в этой зоне.,если событие имеет силу 3+,если два негативных события подряд ударяют в зону,Преобразование: стена становится Защитным Поясом; Разрыв: стена падает и блокирует движение.,Базовая защита зоны.
FORM-007,Витический Очаг,Малая Форма / Витика,Убежище / точка отдыха,1 Пища + 1 Огонь,В конце раунда один персонаж в зоне снимает Усталость или получает 1 Импульс.,если зона лишается Огня,если Убежище получает тяжёлое повреждение,Преобразование: очаг становится Сердцем Убежища; Разрыв: очаг гаснет и даёт холод.,Нужна для чувства дома и восстановления.
FORM-008,Зеркало Первого Образа,Малая Форма / TO-VERIFY материя образа,клетка Тонкого мира / Образ,1 Внимание,Посмотри верхнюю карту события; выбери оставить её или положить вниз колоды.,если открытая карта — Искажение,если зеркало использовано три раза без очистки,Преобразование: зеркало раскрывает Искажение; Разрыв: зеркало создаёт ложный образ.,"Слабое, понятное исследование."
FORM-009,Малый Якорь Порога,Малая Форма / Плотика + Амато,клетка Порога,1 Материя + 1 Полномочие,"Портал, подготовленный на этой клетке, не закрывается от первого сдвига орбитали.",если портал использован без оплаты,если Порог получает Разрыв,Преобразование: якорь становится Портальным Узлом; Разрыв: выбрасывает персонажа на соседнюю клетку.,Подготовка порталов без сложной математики.
FORM-010,Световая Метка,Малая Форма / TO-VERIFY светика,любая раскрытая клетка,1 Ясность,Пометь клетку: следующее исследование здесь получает безопасный результат вместо слепого риска.,если на клетку входит Нижний эффект,если метка перекрыта тремя Искажениями,Преобразование: метка становится малым законом зоны; Разрыв: метка слепит и отменяет исследование.,"Проверить, как часто игроки маркируют карту."
FORM-011,Чаша Импульса,Малая Форма / сосуд,зона ресурса,1 Материя + 1 Связь,Один раз за раунд храни здесь 1 Импульс; любой союзник в зоне может взять его.,если ресурс украден или зона спорная,если Чаша содержит 2 Искажения вместо ресурса,Преобразование: чаша становится Сосудом Огня; Разрыв: сбрасывает накопленный ресурс.,Учить общей экономике.
FORM-012,Нить Возврата,Малая Форма / Сиаматика,между персонажем и Убежищем,1 Связь + 1 Память,Один раз верни персонажа на 1 клетку назад без провала события.,если персонаж входит в Нижний мир,если связь с Убежищем потеряна,Преобразование: нить становится тропой; Разрыв: возвращает не туда.,Нужна как страховка для новичков.
FORM-013,Камень Памяти,Малая Форма / Плотика + память,Убежище или Корень,1 Материя + 1 Память,Сохрани один положительный след зоны до следующего сценария.,если зона получает Шрам,если Камень разрушен Разрывом формы,"Преобразование: память становится законом; Разрыв: память теряется, но даёт 1 Импульс.",Первый ввод кампанийной записи.
FORM-014,Пороговый Фонарик,Малая Форма / светика,портал / тёмная клетка,1 Огонь,Перед входом в портал раскрой риск: можно отказаться от входа без штрафа.,если Огонь потушен,если портал заражён,Преобразование: фонарик становится Маяком Перехода; Разрыв: свет указывает ложный путь.,Должен снижать страх порталов.
FORM-015,Лёгкая Печать Формы,Малая Форма / печать,созданная малая Форма,1 Полномочие,Защити одну малую Форму от первого повреждения.,если Форма уже была повреждена,если пришёл Разрыв закона,Преобразование: печать укрепляет Форму; Разрыв: печать закрывает Форму для союзников.,Мета-карта для сохранения конструкций.
FORM-016,Плотический Мост,Устойчивая Форма / Плотика,между двумя зонами Физического мира,2 Материя + 1 Инструмент + 1 Импульс,Создай постоянный путь: игроки могут переходить между двумя зонами на 1 движение дешевле.,если одна зона получает тяжёлое Искажение,если обе опоры моста разрушены,Преобразование: мост становится портальной дорогой; Разрыв: мост падает и создаёт блокаду.,Проверить экономию движения.
FORM-017,Витический Сад Корня,Устойчивая Форма / Витика,Корень или зона Убежища,2 Пища + 1 Огонь + 1 Связь,В начале каждого раунда выбери: получить 1 Пищу или снять 1 лёгкое повреждение Корня.,если игроки игнорируют Корень 2 раунда,если Корень получает Разрыв,Преобразование: сад лечит и соседнюю зону; Разрыв: превращается в сухой Корень.,Должен поддерживать долгую партию.
FORM-018,Сиаматический Канал,Устойчивая Форма / Сиаматика,между двумя раскрытыми зонами,2 Связь + 1 Полномочие,Один раз за раунд передай через канал 1 ресурс или 1 карту между персонажами.,если через канал передан нижний долг,если оба конца канала искажены,Преобразование: канал становится портальным; Разрыв: канал переносит Искажение.,Проверить командную силу.
FORM-019,Защитный Пояс Убежища,Устойчивая Форма / Плотика,вокруг Убежища,2 Материя + 1 Огонь + 1 Защита,"Первое негативное событие, входящее в Убежище каждый раунд, ослабляется на 1 уровень.",если Убежище принимает беженцев/союзников сверх лимита,если три атаки попадают в один раунд,Преобразование: пояс становится законом безопасности; Разрыв: пояс запирает игроков внутри.,Защита без абсолютной неуязвимости.
FORM-020,Маяк Перехода,Устойчивая Форма / светика + Амато,активный портал,1 Огонь + 2 Полномочие + 1 Ясность,Портал можно использовать безопасно один раз за раунд без броска риска.,если порталом пользуются дважды за раунд,если маяк теряет Огонь и Полномочие,Преобразование: маяк открывает маршрут кампании; Разрыв: открывает не тот выход.,Должен делать портал центром стратегии.
FORM-021,Архив Следов,Устойчивая Форма / память,Убежище / метагалактическая клетка,2 Память + 1 Закон,Сохрани до 2 следов кампании; один раз за сценарий используй один как подсказку.,если игроки скрывают Искажение,если Архив переполнен 3 Шрамами,Преобразование: след становится миссией; Разрыв: след становится ложной записью.,Ввод кампанийной памяти.
FORM-022,Кузница Форм,Устойчивая Форма / Плотика + Огонь,Убежище / клетка Работа,2 Материя + 2 Огонь,Один раз за раунд удешеви создание малой Формы на 1 ресурс.,если используется для нижнего долга,если Огонь Кузницы перегрет 3 раза,Преобразование: кузница создаёт Огненную Форму; Разрыв: сжигает ресурс.,"Проверить, не ускоряет ли слишком быстро."
FORM-023,Башня Обзора Орбиталей,Устойчивая Форма / светика,высокая зона / Тонкий мир,2 Ясность + 1 Материя,Перед сдвигом орбитали посмотри её следующую позицию и выбери: предупредить союзника или подготовить действие.,если прогноз проигнорирован дважды,если Башня поражена Искажением Обмана,Преобразование: башня меняет сдвиг орбитали на 1; Разрыв: даёт ложный прогноз.,Для роли Провидца.
FORM-024,Кольцо Совета,Устойчивая Форма / Сиаматика,командная зона,2 Связь + 1 Импульс + 1 Память,Игроки в зоне могут сложить два слабых действия в одно среднее действие.,если в зоне конфликт между игроками/ролями,если Кольцо получает 2 долга,Преобразование: совет становится законом команды; Разрыв: заставляет выбирать одного лидера.,Проверка командной механики.
FORM-025,Чаша Огня,Устойчивая Форма / сосуд + Огонь,ресурсная зона,2 Огонь + 1 Материя,Храни до 3 Огня; в свой ход игрок в зоне может взять 1 Огонь или очистить 1 слабое Искажение.,если Чаша переполнена,если Огонь гаснет трижды,Преобразование: чаша становится Огненным Сердцем; Разрыв: выпускает Накал.,Экономика Огня.
FORM-026,Печать Закона Зоны,Устойчивая Форма / закон,любая раскрытая зона,2 Полномочие + 1 Ясность,Выбери один простой закон зоны: вход безопасен; ресурс защищён; Искажение видно; портал стабилен.,если закон нарушен действием игрока,если применён Разрыв закона,Преобразование: закон становится кампанийным; Разрыв: закон переворачивается.,"Сильная, но простая юридическая карта мира."
FORM-027,Сторожевая Форма,Устойчивая Форма / защитная материя,"граница Убежища, портала или Корня",2 Материя + 1 Связь,"Когда угроза входит в зону, выбери: задержать её на 1 ход или раскрыть её слабость.",если угроза сильнее на 2 уровня,если Сторожевая Форма остаётся без подпитки 2 раунда,Преобразование: сторож становится помощником; Разрыв: сторож нападает на ближайшую цель.,Может связаться с картами помощников.
FORM-028,Резонансный Купол,Устойчивая Форма / резонатор,зона с 2+ союзниками,2 Связь + 1 Ясность + 1 Огонь,До конца раунда все союзники в зоне защищены от первого Искажения связи.,если союзники расходятся,если купол получает нижний резонанс,Преобразование: купол очищает соседнюю связь; Разрыв: глушит связь.,Защита команды.
FORM-029,Форма Восстановленного Корня,Устойчивая Форма / Витика,повреждённый Корень,2 Витика + 1 Память + 1 Огонь,Переверни повреждённый Корень в восстановленное состояние; он даёт 1 ресурс в начале раунда.,если Корень снова получает Искажение,если на Корень наложен Разрыв,Преобразование: Корень становится живым союзником зоны; Разрыв: Корень ломает соседнюю клетку.,Центральная карта работы с Корнями.
FORM-030,Структура Тихого Портала,Устойчивая Форма / Амато + Сиаматика,подготовленный портал,2 Полномочие + 2 Связь,Портал не создаёт случайного события при первом использовании в сценарии.,если через портал проходит враг/искажение,если портал закрывается силой,Преобразование: портал становится маршрутом; Разрыв: портал превращается в ловушку.,Стабилизация переходов.
FORM-031,Огненный Шов,Огненная Форма,разорванная граница зоны,2 Огонь + 1 Накал,"Закрой Разрыв между двумя зонами; выбери: безопасный шов или шов с Накалом, который даёт +1 к Преобразованию.",если Накал использован без оплаты,если в шов попадает второй Разрыв,Преобразование: Разрыв становится проходом; Разрыв: шов рвётся сильнее.,Ключевая карта ремонта мира.
FORM-032,Печь Переплавки,Огненная Форма,Убежище / Кузница / Огненный переход,3 Огонь + 1 Жертва,Преврати 1 повреждённую Форму в новую малую Форму без полной оплаты.,если переплавляют живой Корень без защиты,если провалены две переплавки,Преобразование: создаёт новую Форму; Разрыв: сжигает исходную Форму без результата.,Должна давать выбор: рискнуть или сохранить старое.
FORM-033,Факел Прожига,Огненная Форма,опасная клетка / Искажение,2 Огонь + 1 Ясность,Раскрой Искажение и выбери: очистить слабое или превратить среднее в видимую угрозу.,если Искажение оказалось нижним долгом,если Факел использован в зоне без выхода,Преобразование: раскрытое Искажение становится ресурсом; Разрыв: рождает Шрам.,"Огонь как раскрытие, не только атака."
FORM-034,Меч Разрыва Формы,Огненная Форма / инструментальная,ложная Форма или враждебная структура,2 Накал + 1 Полномочие,Разрушь ложную Форму или выбери оставить её повреждённой и получить 1 Огонь.,если цель была не ложной,если Меч применён на Корне без проверки,Преобразование: удаляет ложь и открывает место; Разрыв: создаёт пустоту.,Осторожно балансировать разрушение.
FORM-035,Огненный Кокон,Огненная Форма,персонаж / помощник / повреждённая Форма,2 Огонь + 1 Память,Защити цель на 1 раунд; в конце выбери: восстановить 1 повреждение или получить 1 Накал.,если цель действует изнутри кокона,если кокон пробит сильной угрозой,Преобразование: цель выходит новой формой; Разрыв: цель получает откат.,Связать с Новым Рождением.
FORM-036,Столб Накала,Огненная Форма,центральная зона сценария,3 Огонь + 1 Жертва,"До конца раунда Преобразование в этой зоне стоит на 1 ресурс дешевле, но каждое действие добавляет риск Накала.",если Накал становится 3+,если Столб перегрет без охлаждения,Преобразование: ускоряет развитие; Разрыв: перегревает всю зону.,Проверить частоту перегрева.
FORM-037,Пламенная Дверь,Огненная Форма,закрытый портал / Порог,2 Огонь + 2 Импульс,"Открой проход через невозможное: персонаж переходит, но выбирает один откат.",если через дверь идут два персонажа подряд,если дверь открыта без Якоря,Преобразование: дверь становится маршрутом; Разрыв: выбрасывает в опасную дугу.,Высокий драматический портал.
FORM-038,Сердце Огненной Формы,Огненная Форма,созданная устойчивая Форма,2 Огонь + 1 Синтезный след,Дай устойчивой Форме вторую жизнь: при разрушении она один раз превращается в малую Форму.,если Форма повреждена нижним долгом,если Сердце вынуто или погашено,Преобразование: разрушение становится рождением; Разрыв: второй жизни нет.,Связка с Малый Феникс.
FORM-039,Огненный Мост Жертвы,Огненная Форма,между нижней зоной и верхним действием,2 Огонь + 1 Жертва + 1 Полномочие,"Один персонаж платит Жертву, чтобы другой выполнил действие Преобразования без риска.",если жертва была навязана,если оба персонажа проваливают действие,Преобразование: командная жертва очищает путь; Разрыв: создаёт долг.,Проверить этику и баланс командной платы.
FORM-040,Форма Пепельного Следа,Огненная Форма,место разрушенной Формы,1 Пепел + 2 Огонь,После разрушения Формы оставь след: выбери 1 ресурс или подсказку о причине разрушения.,если след игнорируется,если на след кладут второе Искажение,Преобразование: пепел становится семенем; Разрыв: след превращается в проклятие зоны.,Чтобы разрушение не было пустой потерей.
FORM-041,Сефирный Узел Формы,Метагалактическая Форма,узел закона / Сефир / высокая клетка,2 Закон + 1 Сефир + 1 Полномочие,Выбери закон зоны из двух простых вариантов; он действует до конца сценария.,если игрок нарушает выбранный закон,если узел поражён Разрывом закона,Преобразование: закон становится миссией; Разрыв: закон переворачивается против игроков.,Не давать слишком длинные правила.
FORM-042,Аркановая Рама,Метагалактическая Форма,Орбиталь Арканов / клетка Архетипа,1 Аркан + 2 Память + 1 Ясность,"Когда раскрывается Аркановое событие, выбери: смягчить риск или усилить дар.",если игрок выбирает дар без оплаты цены,если Аркановая Рама получает 2 ложных символа,Преобразование: Аркан меняет роль; Разрыв: роль становится искажённой.,Проверить с 22 Арканами.
FORM-043,Имявая Опора,Метагалактическая Форма / Имя,клетка Имени / миссии,1 Имя + 1 Полномочие + 1 Связь,"Назначь зоне одно Имя-действие: защита, вход, восстановление или раскрытие; один раз за раунд зона выполняет его слабую версию.",если Имя используется не по назначению,если Имя стёрто нижним долгом,Преобразование: Имя становится законом; Разрыв: Имя теряет силу и создаёт немоту зоны.,"Сделать имена функциональными, не абстрактными."
FORM-044,Престольный Контур,Метагалактическая Форма,центр высокого сценарного узла,2 Полномочие + 1 Закон + 1 Жертва,"Один раз за сценарий отмени разрушение важной Формы, но запиши кампанийный долг верхнему закону.",если долг не признан,если контур применяется для личной выгоды без миссии,Преобразование: долг становится миссией; Разрыв: долг становится судом.,"Очень сильная карта, должна быть редкой."
FORM-045,Форма Сквозного Духа,Метагалактическая Форма,персонаж / миссия / путь между сценариями,1 Сквозной Дух + 2 Память + 1 Закон,Сохрани одну способность персонажа при смене мерности или после тяжёлого перехода.,если персонаж теряет индивидуальность/роль,если связь Духа разорвана,"Преобразование: способность переходит в новую форму; Разрыв: способность теряется, но оставляет след.",Связать с Ядерным переходом.
FORM-046,Синтезный Столп,Синтезная Форма,линия сверху вниз через несколько миров,2 Синтез + 1 Огонь + 1 Закон,Проведи действие сверху вниз: очисти 1 Искажение в нижнем мире или закрепи 1 малую Форму как устойчивую.,если нижний мир не выдерживает Накал,если Столп использован без возврата,Преобразование: верхнее действие становится формой; Разрыв: прожигает путь и оставляет Шрам.,Главная синтезная форма для теста.
FORM-047,Единая Форма Убежища,Синтезная Форма,Убежище как целая система,2 Синтез + 2 Связь + 1 Память,Объедини до 3 малых/устойчивых Форм Убежища: они считаются одной системой и получают общую защиту.,если одна часть системы получает тяжёлый долг,если центр Убежища разрушен,Преобразование: Убежище становится новым состоянием мира; Разрыв: вся система получает общий откат.,"Проверить, не слишком ли сильная защита."
FORM-048,Сиаматическая Матрица Синтеза,Синтезная Форма / Сиаматика,"между персонажем, порталом и Корнем",1 Сиаматика + 2 Синтез + 1 Полномочие,"Свяжи персонажа, портал и Корень: действие одного может поддержать два других слабым эффектом.",если любая связанная часть искажена,если две части разорваны одновременно,Преобразование: связь становится новой мерностью; Разрыв: расщепляет сеть.,Сложнее остальных — тестировать поздно.
FORM-049,Форма Новой Мерности,Синтезная Форма,персонаж после Ядерного перехода / новая зона,2 Синтез + 1 Сквозной Дух + 1 Огонь,После успешного перехода создай новую мерность: персонаж получает новый слот Формы или зона получает новый закон.,если переход был проведён без Интеграции,если индивидуальность персонажа расщеплена,Преобразование: новая мерность закрепляется; Разрыв: новая мерность становится нестабильной.,Финальная связка с Ядерным переходом и Мираклем.
FORM-050,Венец Сотворённой Формы,Синтезная Форма,любая полностью восстановленная структура,3 Синтез + 1 Венец + 1 Жертва,Сделай одну восстановленную структуру кампанийной: она остаётся между сценариями и даёт 1 выбранный постоянный бонус.,если бонус используется без цены,если Венец повреждён Великим Разрывом,"Преобразование: восстановление становится сотворением; Разрыв: постоянный бонус удаляется, но остаётся легенда.",Очень редкая карта; проверять только в кампании.
